competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent,ingredient_combinations,form_combinations,combination,sugarpercent_squared,chocolate:peanutyalmondy,chocolate:crispedricewafer,chocolate:caramel,sugarpercent_cubed,pricepercent_centered,price_category_medium,price_category_high,price_category_very_high,pricepercent:fruity,pricepercent:chocolate,pricepercent:caramel,pricepercent:chocolate:peanutyalmondy,pricepercent:chocolate:crispedricewafer,sugarpercent_squared:pricepercent,pricepercent:hard,pricepercent:bar,pricepercent:pluribus
100 Grand,1,0,1,0,0,1,0,1,0,0.73199999,0.86000001,0.66971725,chocolate+caramel+crispedricewafer,bar,bar,0.5358239853600002,0,1,1,0.3922231519252803,0.3873735041927711,0,0,1,0.0,0.86000001,0.86000001,0.0,0.86000001,0.46080863276784007,0.0,0.86000001,0.0
3 Musketeers,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,0.67602936,chocolate+nougat,bar,bar,0.36481596376000097,0,0,0,0.22034883116656168,0.038373474192771095,0,1,0,0.0,0.51099998,0.0,0.0,0.0,0.18642095018504123,0.0,0.51099998,0.0
Air Heads,0,1,0,0,0,0,0,0,0,0.90600002,0.51099998,0.52341465,fruity,No Form,None,0.8208360362400005,0,0,0,0.7436774652501611,0.038373474192771095,0,1,0,0.51099998,0.0,0.0,0.0,0.0,0.41944719810191955,0.0,0.0,0.0
Almond Joy,1,0,0,1,0,0,0,1,0,0.465,0.76700002,0.50347546,chocolate+peanutyalmondy,bar,bar,0.21622500000000003,1,0,0,0.10054462500000001,0.2943735141927711,0,0,1,0.0,0.76700002,0.0,0.76700002,0.0,0.16584457932450003,0.0,0.76700002,0.0
Baby Ruth,1,0,1,1,1,0,0,1,0,0.60399997,0.76700002,0.56914547,chocolate+caramel+peanutyalmondy+nougat,bar,bar,0.36481596376000097,1,0,1,0.22034883116656168,0.2943735141927711,0,0,1,0.0,0.76700002,0.76700002,0.76700002,0.0,0.27981385150024,0.0,0.76700002,0.0
Boston Baked Beans,0,0,0,1,0,0,0,0,1,0.31299999,0.51099998,0.23417823999999998,peanutyalmondy,pluribus,pluribus,0.09796899374000011,0,0,0,0.030664294060930096,0.038373474192771095,0,1,0,0.0,0.0,0.0,0.0,0.0,0.05006215384176018,0.0,0.0,0.51099998
Candy Corn,0,0,0,0,0,0,0,0,1,0.90600002,0.32499999,0.38010963,No Ingredients,pluribus,pluribus,0.8208360362400005,0,0,0,0.7436774652501611,-0.1476265158072289,1,0,0,0.0,0.0,0.0,0.0,0.0,0.2667717035696398,0.0,0.0,0.32499999
Caramel Apple Pops,0,1,1,0,0,0,0,0,0,0.60399997,0.32499999,0.34517681000000006,fruity+caramel,No Form,None,0.36481596376000097,0,0,0,0.22034883116656168,-0.1476265158072289,1,0,0,0.32499999,0.0,0.32499999,0.0,0.0,0.11856518457384069,0.0,0.0,0.0
Charleston Chew,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,0.38975037,chocolate+nougat,bar,bar,0.36481596376000097,0,0,0,0.22034883116656168,0.038373474192771095,0,1,0,0.0,0.51099998,0.0,0.0,0.0,0.18642095018504123,0.0,0.51099998,0.0
Chewey Lemonhead Fruit Mix,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,0.36017628,fruity,pluribus,pluribus,0.5358239853600002,0,0,0,0.3922231519252803,0.038373474192771095,0,1,0,0.51099998,0.0,0.0,0.0,0.0,0.2738060458024804,0.0,0.0,0.51099998
Chiclets,0,1,0,0,0,0,0,0,1,0.046,0.32499999,0.24524988,fruity,pluribus,pluribus,0.002116,0,0,0,9.733599999999999e-05,-0.1476265158072289,1,0,0,0.32499999,0.0,0.0,0.0,0.0,0.00068769997884,0.0,0.0,0.32499999
Dots,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,0.42272076,fruity,pluribus,pluribus,0.5358239853600002,0,0,0,0.3922231519252803,0.038373474192771095,0,1,0,0.51099998,0.0,0.0,0.0,0.0,0.2738060458024804,0.0,0.0,0.51099998
Dum Dums,0,1,0,0,0,0,1,0,0,0.73199999,0.034000002,0.39460555999999997,fruity,hard,hard,0.5358239853600002,0,0,0,0.3922231519252803,-0.4386265038072289,0,0,0,0.034000002,0.0,0.0,0.0,0.0,0.01821801657388798,0.034000002,0.0,0.0
Fruit Chews,0,1,0,0,0,0,0,0,1,0.127,0.034000002,0.43088924,fruity,pluribus,pluribus,0.016129,0,0,0,0.002048383,-0.4386265038072289,0,0,0,0.034000002,0.0,0.0,0.0,0.0,0.0005483860322580001,0.0,0.0,0.034000002
Fun Dip,0,1,0,0,0,0,1,0,0,0.73199999,0.32499999,0.39185505,fruity,hard,hard,0.5358239853600002,0,0,0,0.3922231519252803,-0.1476265158072289,1,0,0,0.32499999,0.0,0.0,0.0,0.0,0.17414278988376022,0.32499999,0.0,0.0
Gobstopper,0,1,0,0,0,0,1,0,1,0.90600002,0.45300001,0.46783347999999997,fruity,hard+pluribus,hard+pluribus,0.8208360362400005,0,0,0,0.7436774652501611,-0.019626495807228916,1,0,0,0.45300001,0.0,0.0,0.0,0.0,0.37183873262508055,0.45300001,0.0,0.45300001
Haribo Gold Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,0.5711974,fruity,pluribus,pluribus,0.21622500000000003,0,0,0,0.10054462500000001,-0.0076265058072289005,1,0,0,0.465,0.0,0.0,0.0,0.0,0.10054462500000001,0.0,0.0,0.465
Haribo Happy Cola,0,0,0,0,0,0,0,0,1,0.465,0.465,0.34158958,No Ingredients,pluribus,pluribus,0.21622500000000003,0,0,0,0.10054462500000001,-0.0076265058072289005,1,0,0,0.0,0.0,0.0,0.0,0.0,0.10054462500000001,0.0,0.0,0.465
Haribo Sour Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,0.5141243,fruity,pluribus,pluribus,0.21622500000000003,0,0,0,0.10054462500000001,-0.0076265058072289005,1,0,0,0.465,0.0,0.0,0.0,0.0,0.10054462500000001,0.0,0.0,0.465
Haribo Twin Snakes,0,1,0,0,0,0,0,0,1,0.465,0.465,0.42178772000000003,fruity,pluribus,pluribus,0.21622500000000003,0,0,0,0.10054462500000001,-0.0076265058072289005,1,0,0,0.465,0.0,0.0,0.0,0.0,0.10054462500000001,0.0,0.0,0.465
Hershey's Kisses,1,0,0,0,0,0,0,0,1,0.127,0.093000002,0.55375454,chocolate,pluribus,pluribus,0.016129,0,0,0,0.002048383,-0.37962650380722895,0,0,0,0.0,0.093000002,0.0,0.0,0.0,0.001499997032258,0.0,0.0,0.093000002
Hershey's Krackel,1,0,0,0,0,1,0,1,0,0.43000001,0.91799998,0.62284481,chocolate+crispedricewafer,bar,bar,0.18490000860000008,0,1,0,0.07950700554700012,0.4453734741927711,0,0,1,0.0,0.91799998,0.0,0.0,0.91799998,0.1697382041967999,0.0,0.91799998,0.0
Hershey's Milk Chocolate,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,0.56490501,chocolate,bar,bar,0.18490000860000008,0,0,0,0.07950700554700012,0.4453734741927711,0,0,1,0.0,0.91799998,0.0,0.0,0.0,0.1697382041967999,0.0,0.91799998,0.0
Hershey's Special Dark,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,0.59236122,chocolate,bar,bar,0.18490000860000008,0,0,0,0.07950700554700012,0.4453734741927711,0,0,1,0.0,0.91799998,0.0,0.0,0.0,0.1697382041967999,0.0,0.91799998,0.0
Jawbusters,0,1,0,0,0,0,1,0,1,0.093000002,0.51099998,0.28127439,fruity,hard+pluribus,hard+pluribus,0.008649000372000004,0,0,0,0.000804357051894001,0.038373474192771095,0,1,0,0.51099998,0.0,0.0,0.0,0.0,0.0044196390171119945,0.51099998,0.0,0.51099998
Junior Mints,1,0,0,0,0,0,0,0,1,0.197,0.51099998,0.5721925,chocolate,pluribus,pluribus,0.038809,0,0,0,0.007645373000000001,0.038373474192771095,0,1,0,0.0,0.51099998,0.0,0.0,0.0,0.01983139822382,0.0,0.0,0.51099998
Kit Kat,1,0,0,0,0,1,0,1,0,0.31299999,0.51099998,0.7676860000000001,chocolate+crispedricewafer,bar,bar,0.09796899374000011,0,1,0,0.030664294060930096,0.038373474192771095,0,1,0,0.0,0.51099998,0.0,0.0,0.51099998,0.05006215384176018,0.0,0.51099998,0.0
Laffy Taffy,0,1,0,0,0,0,0,0,0,0.22,0.116,0.41389557000000005,fruity,No Form,None,0.0484,0,0,0,0.010648,-0.35662650580722893,0,0,0,0.116,0.0,0.0,0.0,0.0,0.0056144,0.0,0.0,0.0
Lemonhead,0,1,0,0,0,0,1,0,0,0.046,0.104,0.39141055999999996,fruity,hard,hard,0.002116,0,0,0,9.733599999999999e-05,-0.36862650580722894,0,0,0,0.104,0.0,0.0,0.0,0.0,0.00022006399999999996,0.104,0.0,0.0
Lifesavers big ring gummies,0,1,0,0,0,0,0,0,0,0.26699999,0.27900001,0.52911392,fruity,No Form,None,0.0712889946600001,0,0,0,0.019034160861330085,-0.1936264958072289,1,0,0,0.27900001,0.0,0.0,0.0,0.0,0.01988963022302998,0.0,0.0,0.0
